"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Peptoniphilus","DB_Control - DB_Treated","DB_Control","Dunn",0.0519,"r (|Z|/sqrt(N))",0.1557,0.876269663627761,0.876269663627761,"ns"
"Actinomyces","DB_Control - DB_Treated","DB_Control","Dunn",0.0519,"r (|Z|/sqrt(N))",0.1557,0.876269663627761,0.876269663627761,"ns"
"Anaerococcus","DB_Control - DB_Treated","DB_Control","Dunn",0.0519,"r (|Z|/sqrt(N))",0.1557,0.876269663627761,0.876269663627761,"ns"
"Butyricimonas","DB_Treated - WT_Control","DB_Treated","Dunn",0.0501,"r (|Z|/sqrt(N))",-0.1503,0.880504892066849,0.880504892066849,"ns"
"Delftia","DB_Treated - WT_Control","WT_Control","Dunn",0.0499,"r (|Z|/sqrt(N))",-0.1497,0.881004276603237,0.881004276603237,"ns"
"Lachnospiraceae_FCS020_group","DB_Control - WT_Control","DB_Control","Dunn",0.0499,"r (|Z|/sqrt(N))",-0.1497,0.881004276603236,0.881004276603236,"ns"
"Intestinimonas","DB_Control - WT_Control","DB_Control","Dunn",0.0499,"r (|Z|/sqrt(N))",0.1497,0.881004276603237,0.881004276603237,"ns"
"Pseudomonas","DB_Control - WT_Control","WT_Control","Dunn",0.0497,"r (|Z|/sqrt(N))",-0.1491,0.881497452191014,0.881497452191014,"ns"
"Pseudomonas","DB_Treated - WT_Control","WT_Control","Dunn",0.0497,"r (|Z|/sqrt(N))",0.1491,0.881497452191014,1,"ns"
"Lachnospiraceae_NK4A136_group","DB_Treated - WT_Control","DB_Treated","Dunn",0.0497,"r (|Z|/sqrt(N))",0.1491,0.881497452191013,0.881497452191013,"ns"
"Faecalibaculum","DB_Control - DB_Treated","DB_Control","Dunn",0.0497,"r (|Z|/sqrt(N))",0.1491,0.881497452191014,0.881497452191014,"ns"
"Sphingomonas","DB_Control - DB_Treated","DB_Treated","Dunn",0.0497,"r (|Z|/sqrt(N))",0.1491,0.881497452191014,0.881497452191014,"ns"
