NL,LP,LN,CA
1.079003817,1.62116699,0.642456049,0
0,0,0.718152374,0.857952275
0,0,1.241363158,0
1.202947115,1.589577539,0,0
0,1.355028118,0.611950307,0
1.076447105,0,0,0
0.993932277,0,1.234669127,0.551707103
1.427331727,1.61651531,0.671568134,1.29696044
0,0,0.927082518,0.921330198
1.361179836,0,0.490954029,0
0,0,0,0.821632735
1.471486411,0.648624873,0.771837247,0
0,0,0,0
0,1.370821167,0.525615219,0
0,0,0.841023626,0
1.378766843,0,0.590591478,0
0,0,1.356524381,0
0,1.236920356,1.089757995,0
1.044493901,0,0,0
0,0,0.955634539,0.788872135
0,1.728424485,0.737276561,0
0,0.775232716,0.400380561,0
0,0.630598477,0.520530479,1.654776143
0,0,0,0
0.875375415,0,0.482284587,0
0,0,1.727472799,0
0.695908573,0,0.994933859,0
0,0.958376034,1.392400291,0
0,1.08409262,0.509761228,0
1.092252967,0,0.926506132,0
0,0.953906144,0.799100938,0
0,0,0.829238259,0
0,0,0.312440878,0
0,1.491715157,0.703892734,0
0,1.062494753,0.451404066,0
0.912497588,1.294070491,0.40393763,0.68695521
1.866784774,0,1.223634273,1.703358579
0,0.91536174,0,0.739692089
0.643054626,0.81878748,1.045529671,0.793155709
1.411176027,0,0.884122105,1.184362536
0,0.583306505,0.780641447,1.368523505
0,0,0.555542852,1.05971458
0,0,1.241363158,0
0,0,0,0.856858457
0,1.383675089,0.879148443,0.73328085
0,0,0.533110669,0.634403319
1.172683083,0,0,0.657864724
0,1.163824993,0.392016144,0
0,0.963208327,0,0
0,0,1.084589272,0
1.609437912,0,0.681624702,0
0,0,0.839750655,0
0,1.129684351,0.595498276,0
1.050137942,1.189902174,0,0
0,1.108985546,1.126363299,0.979165636
0,0,1.220408908,0.789922034
0,1.180050102,1.084643286,0
0.942701643,0,1.727996066,0
0,0.703970182,0,0
0,0,0.78192563,0
1.258146079,1.361467526,0.974827455,0
0,1.206545604,0.501676106,0
0,0,0.693973203,0.796718315
0,1.363701875,0,1.153478369
0,0.982708129,1.151749057,0
1.299089078,0,0.610716664,0
0,0,0.721234377,0
1.374008784,0,0.784377848,0
1.400024901,0,1.462078119,0
0.824283247,1.201888512,0,0
0,0,0.379776481,0
0,0,0.70522473,0.538550451
0.457582016,0,0.348147454,0.89979888
0,0,0.296433905,0.499590429
0,0,0.488799649,0.849054089
0.816737637,1.141806986,0,0.791568396
0,0,0,1.338763693
1.307585333,0.938607934,0.761531039,1.21573161
0,0.727592547,0.798697188,1.203844486
0.802890096,0,0.418031349,1.099947402
0,0,0.979373255,1.062412148
1.905454257,1.0733965,0.928831735,0.435132056
0,0.871393993,0.904929227,1.372397854
0,0.892290863,1.425142132,0.900492057
0,0.711647194,0.777323207,1.253880162
0,1.146302458,0,0.572457778
0,0.795615981,0.410648085,0.62210757
0,0,1.056705288,0.46900828
0,0.56874469,0.802776777,0
0,0,0,1.284995727
0,0.309448674,1.191715024,0.906518353
1.921456991,0.884372361,0.319847355,0
0,1.27303768,0.942829193,0
0.706301911,1.372852676,0,0.810149759
0.852358251,0.600694175,0.330986858,0.845625174
0,0.49090485,1.104837489,0
0,0,0.709856093,1.487382244
1.586912028,1.233115971,1.352471895,1.242939794
0,0,0.650679246,1.421151637
0.6845592,1.045250589,0.782569388,0.774081671
0,0.748034055,0.85466027,1.514915308
0.823314079,1.227117406,1.091102411,0.546742824
0,0,0,0.547617635
0.597550778,0.599284692,0.684534841,0.844016137
0,0.832344311,0,0.617133194
0.603496185,0,1.124500271,0.867370779
0,0.664345496,0.442687604,1.116551105
1.285866396,0,1.032236629,0.661111313
0.733928011,0,0,1.030687764
1.323242747,0.748914345,1.056032294,1.2676424
0,0.816737637,1.346520129,0.898602943
0.541118115,0,1.038886031,1.278573505
1.145912113,0.781282984,0,0
0,0.477705067,0.510053485,0.478800724
0,0,0.996458296,0
0,0.934974843,0.865652899,0
0,0.919331483,0,1.08341323
0.889831854,0,0.329906975,1.086450748
0,0,1.049172563,0.909209687
0,1.126363299,0.936402455,0.452130626
0,1.536311455,1.730331755,0.46755667
0,,0,0
0,,1.165341633,0.972026379
0,,0.728534192,1.262962983
0,,0.541448347,0.341701591
0,,0.828801729,0.743664874
0,,0.347438786,0.584815525
0.682374024,,0,0.774790795
0,,1.314347949,1.242384538
0,,0.826517892,0.491816278
0,,0,1.017873872
0,,0.540399038,0.380039414
1.076957386,,0.594878063,1.275654603
0,,0,0.731178798
0.939746524,,1.22411436,1.108078912
0,,1.000155753,0
1.132527864,,1.033751654,0.688998158
0.81963887,,0,0.538996501
0,,0,0.838183778
0.614978954,,0.976939711,0.311293673
0,,0,1.133193627
1.019154775,,1.335800679,0.905420255
1.150738839,,0.270042283,0.805928222
0,,0.989522765,0.703282374
0.725386901,,0,0.529527065
0.799639939,,0.620493273,0.786781115
0,,1.114219092,0.539145352
0,,1.73608498,0
0,,0.92578481,1.203726564
1.186413393,,0.760589081,0.361369431
0,,1.283786584,0.930564779
1.086494121,,1.33426469,0.965206271
1.125800158,,0.29902353,1.498604721
0,,0.744766677,0.629224699
1.214814296,,0.581509694,0.430753303
0,,0,1.048951603
0,,0,1.320469354
