"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust","level1"
"map05418","map05418","Fluid shear stress and atherosclerosis",99,3,3,0,3,-6.17019449154235,-2.92132351052409,1.55825715040289,-2.08493892049734,0.0062,0.0785333333333333,"Human Diseases"
"map04151","map04151","PI3K-Akt signaling pathway",268,3,2,1,1,0.215553100322783,-2.88890663917917,1.53542605028419,2.02188815210433,0.0368,0.223744,"Environmental Information Processing"
"map01230","map01230","Biosynthesis of amino acids",239,82,40,7,33,-12.4311729509396,-15.2397160418968,1.48516742192372,1.89106160658932,0.0294,0.221485714285714,NA
"map00362","map00362","Benzoate degradation",115,8,5,0,5,-7.51274004476592,-4.77371934025083,1.52984443178644,-1.79039165525913,0.0272,0.2176,"Metabolism"
"map00053","map00053","Ascorbate and aldarate metabolism",62,4,2,1,1,-0.666908145239695,-3.39661585671909,1.52874463372651,1.78558776348761,0.0502,0.246141935483871,"Metabolism"
"map00195","map00195","Photosynthesis",63,8,3,0,3,-2.00071708634256,-4.75856956365727,1.55432659960237,1.77430694296825,0.0498,0.246141935483871,"Metabolism"
"map00430","map00430","Taurine and hypotaurine metabolism",29,9,7,0,7,-7.73767195357164,-5.05225535628623,1.54024432980491,-1.74350039491821,0.0306,0.221485714285714,"Metabolism"
"map00970","map00970","Aminoacyl-tRNA biosynthesis",66,29,25,3,22,-11.7357758603789,-9.10841694181098,1.50739617035316,-1.74297836908554,0.0344,0.223744,"Genetic Information Processing"
"map00720","map00720","Other carbon fixation pathways",121,38,21,0,21,-13.0287524651562,-10.3884743751628,1.52665562808587,-1.72945230176355,0.0328,0.223744,"Metabolism"
"map00261","map00261","Monobactam biosynthesis",28,5,0,0,0,-1.14633952110504,-3.77934654709742,1.53272993307018,1.71785450860105,0.0554,0.246674285714286,"Metabolism"
"map00190","map00190","Oxidative phosphorylation",224,45,15,1,14,-8.75868638722496,-11.3228247597174,1.51718115810168,1.69006737184949,0.0486,0.246141935483871,"Metabolism"
"map05415","map05415","Diabetic cardiomyopathy",160,9,1,0,1,-2.52580117364947,-5.06414997705897,1.52540284575855,1.66405144088166,0.0552,0.246674285714286,"Human Diseases"
"map00380","map00380","Tryptophan metabolism",80,6,3,2,1,-1.6573795656508,-4.15111544501914,1.50620434357384,1.65564246976697,0.0568,0.246674285714286,"Metabolism"
"map00625","map00625","Chloroalkane and chloroalkene degradation",43,3,1,1,0,-0.427510244810612,-2.8688872843241,1.53099063332835,1.5946387824764,0.0708,0.2832,"Metabolism"
"map00220","map00220","Arginine biosynthesis",67,21,13,0,13,-10.2116985444811,-7.76729827469339,1.5336177958657,-1.59387839419786,0.05,0.246141935483871,"Metabolism"
"map05020","map05020","Prion disease",209,4,0,0,0,-0.926660882031714,-3.36192893692289,1.54604218368398,1.57516274820413,0.0688,0.2832,"Human Diseases"
"map00998","map00998","Biosynthesis of various antibiotics",74,3,2,0,2,-5.303568972268,-2.88143703689985,1.54693999811255,-1.56575687377884,0.0362,0.223744,"Metabolism"
"map03018","map03018","RNA degradation",79,13,9,1,8,-8.49432631125908,-6.10778627416407,1.52703926404115,-1.56285440282607,0.0494,0.246141935483871,"Genetic Information Processing"
"map05131","map05131","Shigellosis",205,3,2,0,2,-5.20778680108655,-2.90718629374396,1.54259065775962,-1.49138755363906,0.043,0.246141935483871,"Human Diseases"
"map00640","map00640","Propanoate metabolism",102,27,10,1,9,-6.50704458436541,-8.74459322768143,1.52312845533449,1.46904788987389,0.077,0.300102564102564,"Metabolism"
"map00710","map00710","Carbon fixation by Calvin cycle",36,15,10,1,9,-8.7774433881516,-6.54988077013385,1.5475759464161,-1.43938824015479,0.0698,0.2832,"Metabolism"
"map04932","map04932","Non-alcoholic fatty liver disease",127,3,0,0,0,-0.802869493016723,-2.94984682648294,1.51596185788859,1.41624759375971,0.088,0.332917073170732,"Human Diseases"
"map05152","map05152","Tuberculosis",131,3,2,0,2,-5.10861294211138,-2.94507809347655,1.52796941488931,-1.41595429041461,0.0548,0.246674285714286,"Human Diseases"
"map04260","map04260","Cardiac muscle contraction",67,3,0,0,0,-0.802869493016723,-2.95006206291293,1.53267040766836,1.40094867047294,0.0898,0.332917073170732,"Organismal Systems"
"map00280","map00280","Valine, leucine and isoleucine degradation",71,11,7,2,5,-3.60152826422946,-5.60863857991048,1.52114604446486,1.31947246155916,0.0988,0.335525925925926,"Metabolism"
"map00660","map00660","C5-Branched dibasic acid metabolism",29,7,1,0,1,-2.50097549294111,-4.46617276839296,1.51060478086491,1.30093410291384,0.1056,0.335525925925926,"Metabolism"
"map04212","map04212","Longevity regulating pathway - worm",57,4,3,1,2,-1.42642110900645,-3.37413045922537,1.50680941930136,1.29260497397341,0.1014,0.335525925925926,"Organismal Systems"
"map05010","map05010","Alzheimer disease",300,4,0,0,0,-1.40412225370687,-3.37679824271689,1.54065479837428,1.28041401038806,0.107,0.335525925925926,"Human Diseases"
"map05022","map05022","Pathways of neurodegeneration - multiple diseases",368,5,1,0,1,-1.8019280962435,-3.77081888004619,1.54605492810178,1.27349342382037,0.1082,0.335525925925926,"Human Diseases"
